編號,名稱,street1,street2,啟用日期,latitude,longitude
1,速度管理科技設備,自強隧道,,1080901,25.085286,121.552267
2,速度管理科技設備,辛亥隧道,,1090101,25.0117846,121.5552377
3,違規停車管理科技設備,忠孝東路5段,,1081101,25.064232,121.657823
4,違規停車管理科技設備,臺北車站,,1100104,25.04755345,121.51681343
5,違規停車管理科技設備,吳興街220巷,,1100104,25.0271482,121.5623019
6,違規停車管理科技設備,中山北路2段,,1100329,25.188716,121.443934
7,違規停車管理科技設備,南港車站,,1110301,25.052812250000002,121.607135
8,違規停車管理科技設備,臺北轉運站,,1110301,25.049254500000004,121.51708325
9,違規停車管理科技設備,內湖路1段739號,,1110301,25.078689,121.57926
10,違規停車管理科技設備,羅斯福路4段,公館商圈,1110701,25.015328,121.533672
11,違規停車管理科技設備,石牌路二段,榮總周邊,1111201,25.12101415,121.519724601246
12,高架道路科技執法設備,市民大道,,1090101,25.0461218,121.567372
13,高架道路科技執法設備,建國南北快速道路,,1100329,24.953406,121.346922
14,路口多功能交通違規科技執法設備,鄭州路,西寧北路口,1110103,25.0530343,121.5084829
15,路口多功能交通違規科技執法設備,中正路,延平北路口,1111201,25.0048478,121.517174
16,路口多功能交通違規科技執法設備,和平東路,基隆路口,1111201,25.217696,121.641434
17,路口多功能交通違規科技執法設備,市民大道,承德路口,1111201,25.0461218,121.567372
18,路口多功能交通違規科技執法設備,承德路,福國路口,1111201,25.077301,121.501812
19,路口多功能交通違規科技執法設備,民權西路,延平北路口,1111201,25.062674,121.517426
20,路口多功能交通違規科技執法設備,辛亥路三段,基隆路三段口,1111201,25.01355075,121.539340981192
21,路口多功能交通違規科技執法設備,市民大道二段,中山北路口,1111201,25.1862513,121.4439892
22,路口多功能交通違規科技執法設備,信義路,基隆路口,1111201,25.0694193,121.6619781
23,路口多功能交通違規科技執法設備,辛亥路六段,木柵路一段口 ,1111201,24.9877994,121.549311652954
24,路口多功能交通違規科技執法設備,大度路三段,立德路口,1111201,25.1229685,121.465946
25,路口多功能交通違規科技執法設備,市民大道,敦化南路口,1111201,25.0461218,121.567372
26,路口多功能交通違規科技執法設備,大直街,北安路口,1111201,25.083416,121.5447268
27,路口多功能交通違規科技執法設備,信義路,建國南路口,1111201,25.0123977,121.5135696
28,路口多功能交通違規科技執法設備,忠孝東路,基隆路口,1111201,25.0750993,121.6764411
29,路口多功能交通違規科技執法設備,民權東路,建國北路口,1111204,24.9831176,121.5441013
30,路口多功能交通違規科技執法設備,和平西路,西園路口,1111203,25.217696,121.641434
31,路口多功能交通違規科技執法設備,民權西路,承德路口,1111202,25.077301,121.501812
32,路口多功能交通違規科技執法設備,民權西路,蘭州街口 ,1111201,25.062674,121.517426
33,路口多功能交通違規科技執法設備,市民大道二段,林森北路口 ,1111200,25.0473746,121.525923
34,路口多功能交通違規科技執法設備,市民大道,建國南路口,1111201,25.0461218,121.567372
